sample	NTRK1	NTRK2
TCGA-HZ-7918-01	12.16	10.42
TCGA-HZ-A9TJ-06	8.782	6.172
TCGA-IB-AAUS-01	6.311	7.872
TCGA-IB-AAUR-01	6.253	10.16
TCGA-HZ-7920-01	6.216	10.16
TCGA-XD-AAUH-01	6.123	10.18
TCGA-HZ-A77P-01	6.015	8.535
TCGA-HZ-8001-01	5.990	10.13
TCGA-2J-AABP-01	5.955	4.562
TCGA-HZ-A49H-01	5.605	10.69
TCGA-HZ-8637-01	5.577	9.283
TCGA-HZ-7923-01	5.576	11.24
TCGA-US-A774-01	5.538	9.650
TCGA-XN-A8T5-01	5.533	10.06
TCGA-XD-AAUG-01	5.532	11.14
TCGA-IB-AAUW-01	5.452	10.90
TCGA-HZ-A49G-01	5.449	11.60
TCGA-2J-AAB6-01	5.370	7.799
TCGA-IB-7897-01	5.256	11.58
TCGA-3A-A9I5-01	5.256	7.138
TCGA-IB-7649-01	5.239	10.79
TCGA-YB-A89D-01	5.188	9.127
TCGA-HV-A5A5-01	5.133	8.034
TCGA-US-A77J-01	5.108	9.327
TCGA-FB-AAQ1-01	5.108	9.165
TCGA-IB-A5SQ-01	5.081	8.785
TCGA-IB-AAUM-01	5.056	11.34
TCGA-H6-A45N-01	5.043	10.22
TCGA-FB-A4P6-01	5.015	10.06
TCGA-HZ-8519-01	4.919	10.68
TCGA-HZ-A77Q-01	4.839	9.833
TCGA-IB-AAUQ-01	4.796	8.257
TCGA-IB-AAUV-01	4.781	10.30
TCGA-HZ-A4BK-01	4.757	8.465
TCGA-HZ-A8P0-01	4.751	8.851
TCGA-FB-A5VM-01	4.703	9.781
TCGA-3E-AAAY-01	4.666	10.91
TCGA-RL-AAAS-01	4.650	10.41
TCGA-HZ-A4BH-01	4.644	9.619
TCGA-RB-AA9M-01	4.595	9.680
TCGA-2J-AABF-01	4.587	8.509
TCGA-HZ-8002-01	4.574	11.18
TCGA-FB-A7DR-01	4.573	7.195
TCGA-HZ-7924-01	4.566	5.791
TCGA-F2-A44H-01	4.547	9.846
TCGA-IB-A5ST-01	4.541	10.10
TCGA-HZ-7925-01	4.541	8.876
TCGA-FB-AAPS-01	4.528	9.046
TCGA-3A-A9IX-01	4.527	11.74
TCGA-2J-AABV-01	4.527	10.83
TCGA-2J-AABK-01	4.519	10.07
TCGA-HZ-A49I-01	4.489	7.756
TCGA-HZ-8636-01	4.458	8.506
